题名,URL,作者,来源,发表日期,数据库类型,被引用次数,关键词,摘要
γ干扰素/白细胞介素4比值失衡在儿童慢性淋巴细胞性甲状腺炎发病中的作用,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Z5GavyONIMtslR4wjnmmdsqRrLRl9I90AQPfYM-1hbEsjVtc3WDGfjeGiypCDpoR5zy5XldSTs9FKuwkzhrFt-u-STpJLaWQmeWGaq9-LQxlGIWWCYQqkvgWbzXgLaHw4=&uniplatform=NZKPT&language=CHS,"董文斌,邓蕾丽",中华儿科杂志,1/16/2002,期刊,1,,
慢性淋巴细胞性甲状腺炎并发甲状腺癌一例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZvP1G8tgMD2A9YdDrTbA91z7SeXm8CJ1u0M1ZEpF4zODCR2xNp6KgMo_zhKIa62ZqMbxQoK3VQSjXmGWm-_rPto5Yh44cazq9T5chkXeWQEIrjfXw0DO6Mh5eYnNtz41A=&uniplatform=NZKPT&language=CHS,"武晓丽,孙琰",吉林大学学报(医学版),3/30/2003,期刊,1,,
小剂量地塞米松局部注射治疗慢性淋巴细胞性甲状腺炎32例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZskyV76c8st2fwUkqIZplj4TrTZYSL5dmskhUAH35N_uiEX3uTKQ6f975fq2eU_BC6UGVfL3Bpjfuk1k6Wngiq12JqRLowtueWGrQGhxGbp8OFPUjkz8nHeOci9JwRJeQ=&uniplatform=NZKPT&language=CHS,"杜晓梅,陈文道",临床荟萃,1/15/2003,期刊,1,"甲状腺炎,慢性淋巴细胞性; 地塞米松; 泼尼松;",
慢性淋巴细胞性甲状腺炎并发甲状腺结节的外科治疗,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZskyV76c8st2fwUkqIZplj4TrTZYSL5dnnnTabb9d6vPgjl9WdLs8dejZPDv4iWXSxH8JzyetQ2JuMGB8cVfqX0SzCe4OPuyagTyldf-bHZL_rws97OhFqb2iA3U7mTmg=&uniplatform=NZKPT&language=CHS,"任保元,吴雨雷,陈晋丽",中国药物与临床,10/15/2003,期刊,1,,
慢性淋巴细胞性甲状腺炎38例误诊分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YgQwfr660kODmOWB-_sQBSStOk8QHJ7NbBGdpJGtbPGnOlSpgoybk8URyCyytJIMQnV6viitOMvD0Hv7w0vRbImOq73FkZ7cMBUOxcS_Km25Qxd0GJQDYzyP_-mhnni_0=&uniplatform=NZKPT&language=CHS,关宝嘉,中国综合临床,3/30/2004,期刊,1,慢性甲状腺炎; 误诊; 外科手术;,
慢性淋巴细胞性甲状腺炎35例误诊原因分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YeavkHiSUfAOuztZav2G1tJkOiIiukRRLqtNqe2r2y5i4BscpxjhDje7Xy47BJOCactp4_2CbZdWldAO_frkILnxyqBOIGmBTsgZtngUmfDHFbcnn0yiCapFrAO19FqEI=&uniplatform=NZKPT&language=CHS,方庆丰,浙江医学,2/25/2004,期刊,1,,
儿童慢性淋巴细胞性甲状腺炎20例临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YxEvqbqlkE0LFmTH9NqZiQMD1wN8m475Pwtl_Q1NF99M2Jko-5frOcMUomKh9XTTiwxKRARJ4crNCQiBKkXEUhcbmgM9FNJ4-MKYt0yIjKJMeygqKuOqTj83jZtJJ-5KY=&uniplatform=NZKPT&language=CHS,王丽,郑州大学学报(医学版),11/20/2004,期刊,1,慢性淋巴细胞性甲状腺炎; 治疗; 儿童;,
慢性淋巴细胞性甲状腺炎合并甲状腺癌11例诊治分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aLWj2Go2ylHCvSi6vaqvtm8X0exa6HN9hPzEOfBmYeMbmm70vYHhUr1MB-aYyidCuwjG_1NBImTTN18c8-9-RuvC4VxFi7Mu-kMIKQkIE_gjTJ2kIp1rCMXZiH36UXIIo=&uniplatform=NZKPT&language=CHS,"张银龙,王飞海,徐鲁白,朱少俊,许家熔",肿瘤研究与临床,4/25/2005,期刊,1,甲状腺炎; 甲状腺肿瘤; 外科; 手术;,"目的探讨慢性淋巴细胞性甲状腺炎(H D)合并甲状腺癌的诊断和外科治疗原则。方法对101例H D患者中同时合并甲状腺癌的11例进行手术治疗,经病理证实,并对二者的合并发生率、诊断以及治疗情况进行回顾性分析。结果H D与甲状腺癌的合并率为10.9%(11/101),11例患者随访6个月￣9年,均无癌肿复发及转移,疗效满意。结论H D与甲状腺癌可能有相同的发病机制,临床上对孤立的甲状腺结节治疗后无缩小或增大,B超提示为实质性结节,甲状腺131I扫描(或SPEC T)提示“冷结节”者,应早日手术治疗。"
儿童慢性淋巴细胞性甲状腺炎155例随访观察报告,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aLWj2Go2ylHCvSi6vaqvtm8X0exa6HN9j4jQ4Mgv5fyR4OXXJVTcHUUEcx2Kj1QBaxjG4V3ugGiYD_IhuyEY0uCWk5cD64IMx97fTNpkdEtDxwt_v3nN6splYALxVWSmQ=&uniplatform=NZKPT&language=CHS,周国祥,临床医学,11/20/2007,期刊,1,儿童; 甲状腺炎; 淋巴细胞性; 慢性;,"目的随访观察155例儿童慢性淋巴细胞性甲状腺炎(CLT)患儿,探讨儿童CLT的诊治方法。方法对7年来随访观察的CLT患儿临床症状及体征、实验室检查进行回顾性分析。结果155例CLT患儿甲状腺过氧化物酶抗体(TPOAb)、抗甲状腺球蛋白抗体(TGAb)检出阳性率分别为94.2%和89.7%,表明两种抗体测定对CLT有较高的敏感性和特异性。结论认为本病一旦确诊,应积极给予甲状腺激素替代治疗,以防产生永久性甲减。"
慢性淋巴细胞性甲状腺炎51例临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_axgd_tP9aosnORZlttcMNSgCUpjtODzQCOkT5C0V9FhjwJPFSoJ2lbqskofAZetIV1U5GK_RPa5BB5o7MC2twADveigf_oPWCYWFAZcGDthPTe_OZ1ukiSLG0QQQp8BJo=&uniplatform=NZKPT&language=CHS,鲍军;陈福春;张继振;潘琦;郭再君,实用临床医学,9/30/2008,期刊,1,慢性淋巴细胞性甲状腺炎; 诊断; 治疗; 细胞学检查;,"目的探讨慢性淋巴细胞性甲状腺炎(CLT)的诊断,以及CLT合并其它甲状腺疾病的诊治经验。方法回顾性分析1996年7月2006年3月诊治的51例CLT及其合并甲状腺疾病的临床资料。结果经非手术诊断24例(经细针穿刺病理学检查明确诊断22例,诊断率91.67%),其中3例因腺体肿大显著,经甲状腺素片治疗无缩小,且伴有明显的压迫症状,而予手术切除峡部;其余27例分别误诊为其他甲状腺疾病而行手术治疗,其中合并结节性甲状腺肿2例,合并甲亢3例,合并甲状腺瘤3例,合并甲状腺癌3例。非手术治疗组(n=21)经治疗者(2例未治疗)均获得较满意的近期效果;而手术组(n=30)中21例(70.00%)获随访16年,4例发生甲状腺功能减退症。结论细针穿刺病理检查,结合全面的血清免疫学及彩色多普勒检查,可提高CLT的诊断率及非手术诊断率。本病以非手术治疗为主,对合并其它病变者,应根据病理类型选择适当的手术或非手术处理方式。"
慢性淋巴细胞性甲状腺炎并发甲状腺癌32例临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_byMwEDcECb7naGC3X32iE3B8jvw4SdnsqSSeC9Rgx6AaMYMDVN2RAmxkKJjqmI6A_0UZmYS8pqFDWhKukYBvJlcldMl6vSAJV0-_UUYQRamfg3a0XS8fFx4nxM6RzDzNQ=&uniplatform=NZKPT&language=CHS,范波,山西医药杂志,1/15/2009,期刊,1,,
慢性淋巴细胞性甲状腺炎超声诊断技巧,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_byMwEDcECb7naGC3X32iE3B8jvw4SdnsqmgqlsFkp1dn5yDeUsOy_18tztqsb_A2RwLJVY60MDYwFQg70BdDFGws9MraUBPfiu3uOtOtLWKKlTTN2ZXQXb9ULizALXUrk=&uniplatform=NZKPT&language=CHS,郭丽艳;张彦青;牛春梅,中国实用医药,9/28/2009,期刊,1,慢性淋巴细胞性甲状腺炎; 超声扫查; 加压扫查;,"目的探讨超声加压扫查诊断慢性淋巴细胞性甲状腺炎的价值。方法观察43例慢性淋巴细胞性甲状腺炎患者声像图表现,采用加压扫查观察甲状腺组织柔韧度,并与实验室检查和穿刺病理结果比较。结果慢性淋巴细胞性甲状腺炎患者甲状腺质地变硬,使用加压扫查可大大提高超声诊断准确率。结论加压扫查方法简便易行,是诊断慢性淋巴细胞性甲状腺炎的有效手段。"
77例儿童慢性淋巴细胞性甲状腺炎临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Y51rh7uUN3RZ8y-YxCL9VETy23cr14YorBKO1Mgyg0hQqOa5iu6Bv_utDhkKQVy45kWHOvOjzqhTYU2aSdiX3lgAp9JUN1Msnh3F-T9oksONI-6MJP80_VkJllBAQUOdM=&uniplatform=NZKPT&language=CHS,陈丽娜;肖琴;向承发,华西医学,10/25/2009,期刊,1,儿童; 甲状腺炎; 自身免疫性;,"目的:探讨儿童慢性淋巴细胞性甲状腺炎的临床特点、诊断方法、治疗及预后。方法:对77例CLT患儿的临床资料进行回顾性分析。结果:77例CLT患儿男女比例1:6.7,平均年龄10.21±2.33岁(5～15岁)。86%患儿有甲状腺肿大;初诊时表现甲亢患儿51例,甲低20例,甲功正常6例;TGAb阳性率的94%,TPOAb阳性率96%;1例甲状腺细针吸取细胞学检查诊断合并甲状腺乳头状癌。治疗随访1～39月,77例患儿中出现甲低37例。结论:儿童CLT多见于青春期女性,儿童和青春期患者病初表现甲亢较成人多见,TGAb和TPOAb是CLT诊断的重要指标,随着病程延长,表现甲低患儿比例逐渐增高。"
慢性淋巴细胞性甲状腺炎局部免疫调节治疗的护理,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_blFLV6hBU7XaXP5y5DtaVHrmO56CnBzy4Rf7oQjYGxMctmkiwa6tsQuhVdWn4TBuUQj_5P74DoU2zsk7prQMiQ-Y90yo1uE5vMEQBuXDxk55C8BDbs5wObFM3OMHRHKYM=&uniplatform=NZKPT&language=CHS,涂静秋;周先利;潘正英;张雪芹,激光杂志,4/15/2010,期刊,1,慢性淋巴细胞性甲状腺炎; 局部免疫调节; 地塞米松; 护理;,"目的:对慢性淋巴细胞性甲状腺炎(chronic lymphocytic thyroiditis,CLT)局部免疫调节治疗的护理进行总结;方法:对我院收治的124例应用地塞米松进行局部免疫调节治疗的CLT患者的护理进行总结;结果:124例CLT患者均在常规口服药物治疗的同时给予甲状腺注射地塞米松进行局部免疫调节治疗,通过心理护理及细致、准确和针对性的临床护理,治疗1至2个疗程后(每周注射1次,8次为1疗程),显效78例(62.90%),有效42例(33.87%)、无效4例(3.23%),总有效率为96.77%;结论:CLT患者应用地塞米松进行局部免疫调节治疗,结合心理护理及细致、准确和针对性的临床护理,疗效显著。"
40例慢性淋巴细胞性甲状腺炎临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_blFLV6hBU7XaXP5y5DtaVHrmO56CnBzy4IoX2V4lrjGz__DwjJQeu8XpOHOkqOQTES_KsjcPjMcuICdu4GWUJ1Fw-bRGRelQNPriT6bw9sXEOlU8laLX4pxa4yimDvH28=&uniplatform=NZKPT&language=CHS,廖平,中外医疗,5/1/2012,期刊,1,慢性淋巴细胞性甲状腺炎; 自身免疫性疾病; 误诊; 诊断及治疗;,"目的观察慢性淋巴细胞性甲状腺炎(CLT)的临床诊治,探讨CLT的鉴别及治疗方法。方法回顾性分析本院收治的40例慢性淋巴细胞甲状腺炎患者的临床资料,总结其影像学检查、实验室检查、手术病理诊断。结果本组8例经药物治疗结果满意,32例手术治疗的患者中仅3例(术前确诊率9.4%)于术前第一诊断为CLT半结节性甲状腺肿,余下29例术前第一诊断误诊为单纯结节性甲状腺肿、结节性甲状腺肿伴甲亢或甲癌,术前误诊率90.6%(29/32);术后病理诊断单纯CLT24例(60.0%)、CLT伴结节性甲状腺肿9例(22.5%)、CLT伴甲亢4例(10.0%)、CLT伴甲癌3例(7.5%)。结论 CLT的临床表现复杂,且常合并其他甲状腺疾病,术前超声检查结合血清免疫学检查有望提高诊断率,术前明确诊断可减少不必要的手术。"
慢性淋巴细胞性甲状腺炎的超声诊断,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YNaiz_01mlFQJoo5wgDr79F51QmQ16DgkM4_ufJBhE5HHArXG6Cjj52oHigDGGIQqRl0aeYIrDtwXR7Ww0r19CXspBM40eHAtRVCk9XLaKZthTobgwx5Z0ufwhTCZD9k8=&uniplatform=NZKPT&language=CHS,张月仙,中国煤炭工业医学杂志,10/20/2012,期刊,1,"甲状腺炎,慢性淋巴细胞性; 超声诊断;","<正>近年来,随着高频超声和彩色多普勒超声成像技术的发展,对甲状腺疾患的临床应用有了显著进展,经超声检查诊断甲状腺疾病的准确率逐步提高。慢性淋巴细胞性甲状腺炎为一种自身免疫性疾病,本研究通过对2009年2月—2011年8月我院经超声诊断慢性淋巴细胞性甲状腺炎(又称桥本病)例"
慢性淋巴细胞性甲状腺炎的诊断思路与治疗方法,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YNaiz_01mlFQJoo5wgDr79F51QmQ16DgmuJa7D9EOmMvgpBLlZumZ7hNY0shoabMWnnHy167MxXmrTJJziYmbGIlPw6JIcnExrN-ND06CzuB7_3DzujkPVfTbnXesBZcs=&uniplatform=NZKPT&language=CHS,蒙碧辉,中国社区医师,12/23/2012,期刊,1,,"<正>慢性淋巴细胞性甲状腺炎又称桥本甲状腺炎(HT),起病缓慢,发病时患者大都没有特殊感觉,而是逐渐发现甲状腺肿大。少数晚期患者甲状腺体内有大量纤维化形成,坚硬如石,常与周围组织粘连,可发生进行性压迫症状,出现呼吸困难、吞咽困难等症状。本文以病例为基础,对HT的诊断思路和治疗方法作出总结。"
慢性淋巴细胞性甲状腺炎合并甲状腺微小乳头状癌16例分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YqShKMvFNsF09lDpZihOXnEngS00NPgzTLIT2sn1kJ65ParC2xkxbtUm2STw2qg8v2DqvB2Sp-E280KGyC7OFOKi20Mj-FuAXwL_yqxClm0AQHLWOsWO_-yPhWwvzEz94=&uniplatform=NZKPT&language=CHS,孙萍,中国实用医药,5/10/2013,期刊,1,慢性淋巴细胞性甲状腺炎; 甲状腺微小乳头状癌;,"目的探讨慢性淋巴细胞性甲状腺炎合并甲状腺微小乳头状癌的病因、诊断及治疗。方法回顾性分析我科2010～2011年收治的慢性淋巴细胞性甲状腺炎合并甲状腺微小乳头状癌16例患者的临床资料。结果 16例患者术前彩超均发现甲状腺低回声结节。10例TSH升高,16例甲状腺抗体检测均增高。所有患者均行手术治疗,均经术中冰冻病理确诊。结论慢性淋巴细胞性甲状腺炎合并甲状腺微小乳头状癌漏诊率高,诊断时需高度警惕。手术是有效的治疗方法。术中冰冻病理检查确诊率高。预后较好。"
慢性淋巴细胞性甲状腺炎合并多灶性甲状腺乳头状癌46例诊治体会,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YqShKMvFNsF09lDpZihOXnEngS00NPgzRXrUdaFbWUx2Frl9D5XG-YrxlUTKUjpc378p4trwzD-KSZ2tr0t8XH5JliewTSXTFAjzs__JZ0OgA2XdpOeCeYIzVJVnk4prA=&uniplatform=NZKPT&language=CHS,叶登峰;李志安,中国乡村医药,9/15/2013,期刊,1,慢性淋巴细胞性甲状腺炎; 甲状腺乳头状癌; 外科手术;,"目的总结慢性淋巴细胞性甲状腺炎(桥本病)合并多灶性甲状腺乳头状癌的诊治方法。方法回顾性分析46例桥本病合并多灶性甲状腺乳头状癌的临床资料。结果 46例桥本病合并多灶性甲状腺乳头状癌,其中34例(73.9%)甲状腺球蛋白抗体(TGAb)升高,4 6例抗甲状腺过氧化物酶抗体(TPOAb)均升高。4 6例均根据病情行不同形式手术治疗,同时行中央区淋巴结清扫。46例均获得随访,中位随访时间28个月。1例(2.2%)因一侧颈淋巴结转移而再次入院行改良颈淋巴清扫术。1例(2.2%)术后15个月残叶甲状腺癌复发行再次手术。结论桥本病伴多灶性甲状腺乳头状癌发生率较高,淋巴结转移率低,总体预后理想。TGAb、TPOAb、B超对术前诊断桥本病合并多灶性甲状腺癌有重要价值。"
慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤的临床诊治观察,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZlxW2uUGfqX6hlQpDhkfvTQuiZ3-IFtCQb8HqHVO_sEPHAO0GX4BGaW3rKdVmpq6SMdOOUCUEMDJ6zZwVU12Mwhy1eLU-hrtOm31lQkNEo5gRtNglh2ZX66EyZAUt8w-g=&uniplatform=NZKPT&language=CHS,曹晓征,中国医学前沿杂志(电子版),5/20/2014,期刊,1,恶性肿瘤; 慢性淋巴细胞性甲状腺炎;,"目的对慢性淋巴细胞性甲状腺炎(CLT)合并甲状腺恶性肿瘤的临床诊治方法进行探讨。方法回顾性分析38例CLT合并甲状腺恶性肿瘤患者的诊断及治疗过程。结果 CLT合并乳头状癌29例,CLT合并髓样癌3例,CLT合并淋巴瘤6例。其中35例获得随访,86.84%的患者治疗效果良好。结论 CLT合并甲状腺恶性肿瘤中以合并乳头状癌居多(29/38)。术前甲状腺功能、血清甲状腺抗体检测、B超及术中和术后切片检查可以提高诊断率和治疗率,并有助于选择正确的手术方式。"
弥漫性甲亢和慢性淋巴细胞性甲状腺炎的发病机理,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Yn5XzMcMTrzyqe_8Q0p70yljVQp24TVMHyCblxH5sbUzIH2B0C4A1lt-6j4ViOGm2WATESyZmS5m7yfN2PDHaiWNgbIyGh6nrPeE4g0wLUzKXAxXdgavuBd2YSkZFXKVk=&uniplatform=NZKPT&language=CHS,张家庆,国外医学参考资料(内科学分册),3/2/1975,期刊,1,,"<正> 目前认为弥漫性甲亢和慢性淋巴细性甲状腺炎的发病机理,极可能是与原发性免疫疾患有关。它们在遗传和发病机理上有特别紧密的联系。有关体液性免疫球蛋白的目前情况一、甲状腺自身抗体自从1956年发现血清的甲状腺抗体后,目前已发现在慢性淋巴细胞性甲状腺炎和弥漫性甲亢时都有各种甲状腺自身抗体,包括对甲状腺球蛋白的抗体、对甲状腺球蛋白以外的胶体成分的抗体、对甲状腺“微粒体”的抗体和抗核成分。这些抗体系由B淋巴细胞产生。最近有证据表明它们要与T淋巴细胞结合后才有细胞毒性。因此可能细胞免疫和体液性免疫两者对"
甲状腺机能亢进症与慢性淋巴细胞性甲状腺炎(附3例报告),https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Z4DrgGNRpfdwQj-LCc4bAWXtml9BjvTA6GncnVEsAcQSW3TxdCoWVfPJafvbt2xd-JN_6k7W4PDc5pK-RN3XZGBVWaL5vDp94A3PPO6RQVR31Wzrpxkw9NpjYyGxfOXmQ=&uniplatform=NZKPT&language=CHS,"高寅春,岳颖,陈约翰",蚌埠医学院学报,4/2/1981,期刊,1,,"本文报告我院收治的3例患者,临床诊断为甲亢,经手术治疗,病理报告为甲亢合并慢性淋巴细胞性甲状腺炎或仅为慢性淋巴细胞性甲状腺炎.并试对两病同时存在于同一病人的病发机理、慢性淋巴性甲状腺炎有甲亢表现等进行了讨论.阐述了此3例术前未能得到正确诊断,致术后发生甲减的原因.说明对甲亢而甲状腺肿质地较硬的患者,进行甲状腺穿刺和免疫学检测,以便得出正确诊断是很必要的,并从而可以给予合理的治疗."
地方性甲状腺肿内慢性淋巴细胞甲状腺炎的发生率及病变分布,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Z4DrgGNRpfdwQj-LCc4bAWXtml9BjvTA7aFad-KC-VQ7FY-L6NBnvuIsZ9zve2tGXFMR_ZFy5TAaxnv956acTsk-gK7qAp8FsaA1EZKMZgyE-dlwfkfki6P1SlKIXG8SE=&uniplatform=NZKPT&language=CHS,"刘彦仿,胡明钦,牛恕淼,吴延令",中国地方病学杂志,3/2/1983,期刊,1,,"<正> 慢性淋巴细胞甲状腺炎包括桥本氏病,也可包括局限性甲状腺炎,是一组自身免疫性疾病国外报告,它们在甲状腺活检或尸检中占5.7～15.8％,并非罕见疾病。而地方性甲状腺肿更是一种常见的地方病,两者关系如何文献报导极少。一般认为慢性淋巴细胞甲状腺炎(以下简称慢淋甲炎)是甲状腺的弥漫性疾病"
慢性淋巴细胞性甲状腺炎,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZwWFgt7cyCQrPiAMa9DKfXTsxj_3EcYu9CCqV-xxsb788HVQpf01PZ-npii8awgn6-NhCDvd4IcKO3jH9UDTQlBPN8-abZ5GNOFmkEakxoSlPS_JgnksT7TKUfDvMzOKk=&uniplatform=NZKPT&language=CHS,"李永年,莫永灼",陕西新医药,1/31/1983,期刊,1,,"<正> 慢性淋巴细胞性甲状腺炎,又称Hashi-mofo氏甲状腺炎,是一种免疫性疾病,在缺乏免疫学测定条件下,一般不易及时作出诊断。我们自1973年4月至1981年4月,将本病误为其它外科性甲状腺病而行手术,并经病理证实者共25例。现报道如下,以便从中吸取教训。临床资料一、性别与年龄:本组25例全部是女性,年龄最小19岁,最大51岁。其中以36—45岁为最多,占18%。二、病程:最短3个月,最长15年,以3—6年为最多。三、临床症状:甲状腺肿大或出现结节25例,颈前部不适8例,憋气11例,声调变低2例,轻度浮肿1例,食欲亢进3例,食欲减退"
慢性淋巴细胞性甲状腺炎的131Ⅰ摄取功能和实际甲功的对比观察,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZwWFgt7cyCQrPiAMa9DKfXTsxj_3EcYu9CCqV-xxsb70pLDaxloRMQC0lZNQBXYTmuHxL-knvIOGC6Mh7qTdLLw5gQvLbbrr9LtLofxwAYZmBY1TQaNciDUmDHiLn6_Vo=&uniplatform=NZKPT&language=CHS,"金世鑫,高慧,刘恕淼",陕西医学杂志,5/1/1991,期刊,1,甲状腺炎/病理生理学; 甲状腺功能试验; 碘放射性同位素/分析;,"报道120例桥本氏甲炎中63例131Ⅰ摄取率高于实际甲功,45例前者等于后者,12例前者低于后者。之所以摄碘功能高于实际甲功,是由于TSH 分泌增多或效应增强;后期,上皮细胞损伤严重,不能体现TSH 的效应增强,遂见摄碘功能相当于,甚至低于实际甲功。过氯酸盐排泌试验证明了上述观点。"
